AAPL,AMZN,FB,MSFT,NFLX,NVDA,TSLA,TWTR,WMT
40.72287368774414,59.45050048828125,,80.22901153564453,201.07000732421875,49.31713104248047,21.368667602539062,,88.95238494873047
40.71578598022461,60.209999084472656,,80.60237121582031,205.0500030517578,52.56287384033203,21.149999618530273,,89.72831726074219
40.904911041259766,60.47949981689453,,81.31181335449219,205.6300048828125,52.839942932128906,20.974666595458984,,89.80951690673828
41.37062454223633,61.457000732421875,,82.31990814208984,209.99000549316406,53.287723541259766,21.10533332824707,,90.34185028076172
41.216957092285156,62.34349822998047,,82.40391540527344,212.0500030517578,54.92049789428711,22.42733383178711,,91.67720031738281
41.21223831176758,62.6349983215332,,82.34791564941406,209.30999755859375,54.90565872192383,22.246000289916992,,90.57646179199219
41.20277404785156,62.71649932861328,,81.97454833984375,212.52000427246094,55.33612823486328,22.31999969482422,,89.92681121826172
41.43681335449219,63.83399963378906,,82.21723937988281,217.24000549316406,55.4350700378418,22.530000686645508,,90.24261474609375
41.86470413208008,65.26000213623047,,83.63604736328125,221.22999572753906,55.162940979003906,22.4146671295166,,91.0094985961914
41.65194320678711,65.24299621582031,,82.4692611694336,221.52999877929688,54.45293426513672,22.67066764831543,,90.84711456298828
42.339881896972656,64.75,,84.1401138305664,217.5,55.59340286254883,23.143999099731445,,92.66062927246094
42.3776969909668,64.66600036621094,,84.102783203125,220.3300018310547,55.524131774902344,22.971332550048828,,94.1042251586914
42.18857955932617,64.72899627685547,,84.00944519042969,220.4600067138672,56.92682647705078,23.334667205810547,,94.36585998535156
41.84342956542969,66.3655014038086,,85.51227569580078,227.5800018310547,57.81247329711914,23.437332153320312,,95.14179992675781
41.852882385253906,68.12699890136719,,85.782958984375,250.2899932861328,59.103858947753906,23.519332885742188,,95.54780578613281
41.186222076416016,67.87550354003906,,85.70829010009766,261.29998779296875,58.33448028564453,23.05933380126953,,95.44856262207031
40.451011657714844,68.89749908447266,,86.18436431884766,269.70001220703125,58.47053527832031,22.50933265686035,,96.17938232421875
40.54557418823242,70.10250091552734,,87.79918670654297,274.6000061035156,60.197322845458984,22.856666564941406,,97.79440307617188
39.70634841918945,70.88400268554688,,87.66850280761719,284.5899963378906,61.06813430786133,23.302000045776367,,98.84101104736328
39.47230529785156,71.89099884033203,,86.56705474853516,278.79998779296875,60.04640197753906,23.05466651916504,,97.19892883300781
39.58104705810547,72.54450225830078,,88.68595123291016,270.29998779296875,60.808372497558594,23.62066650390625,,96.17938232421875
39.663787841796875,69.5,,87.98587799072266,265.07000732421875,59.4972038269043,23.28333282470703,,95.20496368408203
37.94277572631836,71.49749755859375,,85.67095947265625,267.42999267578125,57.77042770385742,22.916667938232422,,94.26660919189453
36.99480056762695,69.5,,82.1425552368164,254.25999450683594,52.86716079711914,22.208667755126953,,90.30574798583984
38.54087829589844,72.14199829101562,,85.25089263916016,265.7200012207031,55.80615997314453,22.264667510986328,,91.03656768798828
37.71582794189453,70.83899688720703,,83.64539337158203,264.55999755859375,56.602752685546875,23.0,,92.79594421386719
